         2623842 function calls (2574019 primitive calls) in 3.548 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   159783    0.015    0.000    0.015    0.000 {built-in method builtins.len}
      147    0.000    0.000    0.014    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/contextlib.py:72(inner)
     6353    0.014    0.000    0.014    0.000 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:1164(_get_edge_distance_from_start_of_link)
     6885    0.003    0.000    0.013    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:4456(getSpeed)
     2016    0.003    0.000    0.013    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2105(sum)
     3892    0.013    0.000    0.013    0.000 /home/xingminw/Documents/plymouth-traffic-env/estimation/particle.py:635(<listcomp>)
    15808    0.008    0.000    0.013    0.000 {built-in method builtins.all}
    29961    0.013    0.000    0.013    0.000 {method 'tolist' of 'numpy.ndarray' objects}
     7904    0.013    0.000    0.013    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      147    0.012    0.000    0.012    0.000 {function SeedSequence.generate_state at 0x7f7f9d6a3160}
   110648    0.011    0.000    0.011    0.000 {built-in method builtins.isinstance}
    20208    0.007    0.000    0.010    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/_methods.py:82(_clip_dep_is_byte_swapped)
     6885    0.010    0.000    0.010    0.000 {built-in method libsumo._libsumo.vehicle_getSpeed}
    12960    0.009    0.000    0.009    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
    82485    0.009    0.000    0.009    0.000 {built-in method builtins.id}
     7904    0.006    0.000    0.009    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/scipy/stats/_distn_infrastructure.py:828(<listcomp>)
    29810    0.008    0.000    0.008    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
    55191    0.008    0.000    0.008    0.000 {built-in method builtins.getattr}
    65814    0.008    0.000    0.008    0.000 {method 'get' of 'dict' objects}
    53728    0.008    0.000    0.008    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     6885    0.002    0.000    0.008    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:4492(getLaneID)
        1    0.007    0.007    0.008    0.008 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:645(_generate_turning_weight_matrix)
    66539    0.007    0.000    0.007    0.000 {method 'keys' of 'dict' objects}
      120    0.000    0.000    0.007    0.000 <string>:5(_parse_args_rvs)
     6885    0.002    0.000    0.006    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:4570(getWaitingTime)
     6885    0.002    0.000    0.006    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:4512(getLanePosition)
    17826    0.006    0.000    0.006    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:71(<dictcomp>)
     6885    0.006    0.000    0.006    0.000 {built-in method libsumo._libsumo.vehicle_getLaneID}
        1    0.000    0.000    0.005    0.005 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/subprocess.py:732(__init__)
        1    0.000    0.000    0.005    0.005 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/subprocess.py:1550(_execute_child)
    23952    0.005    0.000    0.005    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/lib/stride_tricks.py:260(<genexpr>)
    29810    0.005    0.000    0.005    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/lib/function_base.py:1148(_diff_dispatcher)
    14682    0.005    0.000    0.005    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/xml/etree/ElementTree.py:1073(_escape_attrib)
      120    0.000    0.000    0.005    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:4448(getIDList)
      120    0.005    0.000    0.005    0.000 {built-in method libsumo._libsumo.vehicle_getIDList}
        2    0.003    0.002    0.004    0.002 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:1225(_generate_link_movement)
      147    0.003    0.000    0.004    0.000 {method 'seed' of 'numpy.random.mtrand.RandomState' objects}
     6885    0.004    0.000    0.004    0.000 {built-in method libsumo._libsumo.vehicle_getWaitingTime}
     6885    0.004    0.000    0.004    0.000 {built-in method libsumo._libsumo.vehicle_getLanePosition}
     3069    0.004    0.000    0.004    0.000 {method 'argsort' of 'numpy.ndarray' objects}
        1    0.004    0.004    0.004    0.004 {built-in method posix.read}
        2    0.001    0.001    0.003    0.002 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:1389(_generate_link_segment_and_pipeline)
     2202    0.003    0.000    0.003    0.000 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:1043(<listcomp>)
    16048    0.003    0.000    0.003    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/scipy/stats/_distn_infrastructure.py:812(squeeze_left)
    19530    0.003    0.000    0.003    0.000 {method 'items' of 'xml.etree.ElementTree.Element' objects}
     7904    0.003    0.000    0.003    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/scipy/stats/_distn_infrastructure.py:857(<listcomp>)
     2202    0.002    0.000    0.003    0.000 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:1044(<listcomp>)
    21069    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
    11774    0.003    0.000    0.003    0.000 {built-in method builtins.pow}
    20208    0.003    0.000    0.003    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3071(_ndim_dispatcher)
     4320    0.003    0.000    0.003    0.000 /home/xingminw/Documents/plymouth-traffic-env/estimation/particle.py:524(update_turning_dict)
        2    0.002    0.001    0.003    0.001 /home/xingminw/Documents/plymouth-traffic-env/estimation/particle.py:102(_add_link_properties)
     4508    0.003    0.000    0.003    0.000 {built-in method numpy.zeros}
    15808    0.003    0.000    0.003    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2333(_all_dispatcher)
    15809    0.002    0.000    0.002    0.000 {method 'pop' of 'dict' objects}
    14639    0.002    0.000    0.002    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/xml/etree/ElementTree.py:1057(_escape_cdata)
    14959    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.002    0.001 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:474(_close_simulator)
     7784    0.002    0.000    0.002    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/scipy/stats/_distn_infrastructure.py:872(_argcheck)
       32    0.002    0.000    0.002    0.000 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:1471(_get_edge_connection_offset)
        1    0.000    0.000    0.002    0.002 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/__init__.py:46(close)
        1    0.000    0.000    0.002    0.002 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:2906(close)
        1    0.002    0.002    0.002    0.002 {built-in method libsumo._libsumo.simulation_close}
    10104    0.002    0.000    0.002    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2029(_clip_dispatcher)
    13611    0.002    0.000    0.002    0.000 {built-in method builtins.issubclass}
      120    0.000    0.000    0.002    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/scipy/stats/_discrete_distns.py:40(_rvs)
      720    0.000    0.000    0.001    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:3898(trafficlight_getRedYellowGreenState)
      294    0.001    0.000    0.001    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/gym/utils/seeding.py:68(_bigint_from_bytes)
     2202    0.001    0.000    0.001    0.000 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:1564(__init__)
      120    0.001    0.000    0.001    0.000 {method 'binomial' of 'numpy.random.mtrand.RandomState' objects}
      147    0.000    0.000    0.001    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/gym/utils/seeding.py:20(hash_seed)
      147    0.000    0.000    0.001    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/gym/utils/seeding.py:44(create_seed)
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
       53    0.001    0.000    0.001    0.000 /home/xingminw/Documents/plymouth-traffic-env/estimation/particle.py:664(insert_cv)
      720    0.001    0.000    0.001    0.000 {built-in method libsumo._libsumo.trafficlight_getRedYellowGreenState}
     7904    0.001    0.000    0.001    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/lib/stride_tricks.py:200(_broadcast_arrays_dispatcher)
      294    0.000    0.000    0.001    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:32(seterr)
     7904    0.001    0.000    0.001    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/shape_base.py:20(_atleast_1d_dispatcher)
        6    0.000    0.000    0.001    0.000 {built-in method builtins.next}
        6    0.000    0.000    0.001    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/xml/etree/ElementTree.py:782(_get_writer)
     2202    0.001    0.000    0.001    0.000 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:910(_add_lane)
     1440    0.001    0.000    0.001    0.000 /home/xingminw/Documents/plymouth-traffic-env/estimation/particle.py:507(sort_lane_changing_events)
       13    0.001    0.000    0.001    0.000 {built-in method io.open}
      120    0.001    0.000    0.001    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/scipy/stats/_discrete_distns.py:43(_argcheck)
        2    0.000    0.000    0.001    0.000 /home/xingminw/Documents/plymouth-traffic-env/estimation/particle.py:233(_load_demand_and_turning_ratio)
        3    0.000    0.000    0.001    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/contextlib.py:108(__enter__)
      216    0.000    0.000    0.001    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/gym/spaces/box.py:52(_get_precision)
        2    0.001    0.000    0.001    0.000 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:1185(_update_link_shape_from_edges)
      147    0.000    0.000    0.001    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:433(__enter__)
      294    0.001    0.000    0.001    0.000 {built-in method posix.urandom}
      168    0.001    0.000    0.001    0.000 /home/xingminw/Documents/plymouth-traffic-env/estimation/particle.py:582(__init__)
      705    0.001    0.000    0.001    0.000 /home/xingminw/Documents/plymouth-traffic-env/estimation/particle.py:650(<listcomp>)
      120    0.000    0.000    0.001    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:1161(getAllSubscriptionResults)
     1072    0.001    0.000    0.001    0.000 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:1522(__init__)
       53    0.000    0.000    0.001    0.000 /home/xingminw/Documents/plymouth-traffic-env/estimation/particle.py:713(remove_cv)
      526    0.001    0.000    0.001    0.000 /home/xingminw/Documents/plymouth-traffic-env/estimation/particle.py:646(<listcomp>)
      147    0.000    0.000    0.001    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/_methods.py:53(_any)
      147    0.000    0.000    0.001    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:438(__exit__)
      144    0.000    0.000    0.001    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/numeric.py:268(full)
        1    0.000    0.000    0.001    0.001 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/encodings/__init__.py:70(search_function)
     3069    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:995(_argsort_dispatcher)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.__import__}
      147    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/random.py:721(getrandbits)
     4004    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/copy.py:182(_deepcopy_atomic)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:986(_find_and_load)
      216    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/numerictypes.py:360(issubdtype)
      120    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.edge_getAllSubscriptionResults}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
      147    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
     1072    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:905(_add_edge)
      420    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/estimation/particle.py:654(<listcomp>)
        2    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:1215(_update_junction_edge_connection)
      120    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:7045(wrapper)
      294    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:132(geterr)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:650(_load_unlocked)
      140    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:1586(__init__)
      144    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
       32    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(argmin)
      264    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/utils.py:87(delete_buffer_file)
     2016    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2100(_sum_dispatcher)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:777(exec_module)
  296/295    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
     1560    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/libsumo/libsumo.py:74(<listcomp>)
       32    0.000    0.000    0.000    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1195(argmin)
       68    0.000    0.000    0.000    0.000 /home/xingminw/Documents/plymouth-traffic-env/estimation/particle.py:610(new_cv_arrived)
